brand,name,gender,year,top_notes,heart_notes,base_notes,family,rating,imageUrl
Xerjoff,Opaline Signature 1643,UNISEX,2013,Pear;Juniper Berries;Lemon,Iris;Fig;Orange Blossom,Tonka Bean;Vanilla;Sandalwood,Amber Gourmand,4.1,
Lattafa,Noir Whisper 1644,UNISEX,2014,Apple;Saffron;Cardamom,Tuberose;Geranium;Patchouli,Incense;Oud;Leather,Citrus Aromatic,4.5,
Amouage,Amber Edition 1645,WOMEN,1990,Fig Leaf;Ginger;Aldehydes,Orange Blossom;Ylang Ylang;Violet,Praline;Cashmeran;Oakmoss,Green Aromatic,4.8,https://images.odora.it/perfumes/amouage-1645.jpg
Tom Ford,Aura Reserve 1646,MEN,1999,Lemon;Pink Pepper;Saffron,Violet;Patchouli;Lavender,Myrrh;Praline;Labdanum,Woody Spicy,4.8,
Guerlain,Silk Code 1647,WOMEN,2011,Ginger;Juniper Berries;Aldehydes,Geranium;Patchouli;Nutmeg,Praline;Vanilla;Oud,Aromatic Fougere,4.2,
Maison Francis Kurkdjian,Solar Code 1648,MEN,1994,Pink Pepper;Fig Leaf;Lavender,Cinnamon;Dates;Orange Blossom,Cashmeran;Incense;Tonka Bean,Woody Amber,4.6,
Diptyque,Oud Bloom 1649,UNISEX,1980,Cardamom;Apple;Fig Leaf,Iris;Patchouli;Orange Blossom,Oud;Labdanum;Oakmoss,Aromatic Fougere,4.2,
Byredo,Saffron Parfum 1650,WOMEN,1989,Mint;Fig Leaf;Saffron,Ylang Ylang;Rose;Cinnamon,Cedarwood;Sandalwood;Vanilla,Aromatic Fougere,3.6,https://images.odora.it/perfumes/byredo-1650.jpg
Yves Saint Laurent,Intense Trail 1651,MEN,2000,Lemon;Lavender;Grapefruit,Iris;Lavender;Fig,Oud;Incense;Vetiver,Amber Gourmand,3.9,
Acqua di Parma,Absolu Essence 1652,WOMEN,2019,Pear;Fig Leaf;Saffron,Cinnamon;Ylang Ylang;Cedar,Vetiver;Benzoin;Myrrh,Amber Gourmand,3.9,
Parfums de Marly,Noble Pulse 1653,MEN,1989,Apple;Mint;Bergamot,Nutmeg;Jasmine;Lavender,Myrrh;Sandalwood;Benzoin,Amber Gourmand,4.6,
Initio,Opaline Trail 1654,UNISEX,1990,Pear;Pink Pepper;Fig Leaf,Rose;Lavender;Patchouli,Labdanum;Tonka Bean;Oakmoss,Fresh Citrus,4.5,
Mancera,Oud Spirit 1655,MEN,2012,Bergamot;Mint;Lemon,Nutmeg;Fig;Patchouli,Incense;Leather;Cashmeran,Floral Woody Musk,3.8,https://images.odora.it/perfumes/mancera-1655.jpg
Montale,Saffron Spirit 1656,UNISEX,2008,Ginger;Lavender;Juniper Berries,Tuberose;Dates;Ylang Ylang,Incense;Leather;Benzoin,Citrus Aromatic,4.7,
Nishane,Luminous Edition 1657,UNISEX,1987,Pink Pepper;Fig Leaf;Mandarin,Iris;Orange Blossom;Dates,Leather;Vetiver;Benzoin,Woody Spicy,3.9,
Memo Paris,Velvet Fusion 1658,MEN,1985,Neroli;Lemon;Pear,Cedar;Violet;Dates,Sandalwood;Oakmoss;Tonka Bean,Woody Amber,3.9,
Frederic Malle,Midnight Veil 1659,MEN,2016,Neroli;Apple;Fig Leaf,Coffee;Jasmine;Fig,Leather;Vanilla;Oakmoss,Woody Spicy,4.6,
Le Labo,Noble Spirit 1660,UNISEX,1990,Fig Leaf;Ginger;Pear,Rose;Cedar;Iris,Oakmoss;Leather;Praline,Amber Gourmand,3.9,https://images.odora.it/perfumes/le-labo-1660.jpg
Dior,Aura Reserve 1661,MEN,1991,Pink Pepper;Saffron;Lemon,Nutmeg;Ylang Ylang;Violet,Amber;Musk;Tonka Bean,Amber Gourmand,4.8,
Chanel,Oud Essence 1662,UNISEX,2016,Saffron;Apple;Neroli,Rose;Ylang Ylang;Geranium,Tonka Bean;Labdanum;Amber,Oriental Vanilla,4.7,
Xerjoff,Noble Signature 1663,WOMEN,1989,Mandarin;Juniper Berries;Lemon,Patchouli;Jasmine;Ylang Ylang,Benzoin;Praline;Amber,Green Aromatic,4.7,
Lattafa,Noble Veil 1664,MEN,2002,Mandarin;Cardamom;Pink Pepper,Tuberose;Lavender;Iris,Benzoin;Amber;Cedarwood,Floral Woody Musk,4.7,
Amouage,Zenith Spirit 1665,UNISEX,1983,Juniper Berries;Aldehydes;Mandarin,Nutmeg;Violet;Lavender,Cashmeran;Cedarwood;Musk,Woody Amber,3.7,https://images.odora.it/perfumes/amouage-1665.jpg
Tom Ford,Luminous Pulse 1666,MEN,1990,Pear;Pink Pepper;Aldehydes,Rose;Jasmine;Tuberose,Musk;Incense;Myrrh,Floral Woody Musk,3.9,
Guerlain,Eclat Elixir 1667,UNISEX,1981,Juniper Berries;Saffron;Lavender,Orange Blossom;Tuberose;Cinnamon,Labdanum;Sandalwood;Incense,Aromatic Fougere,4.0,
Maison Francis Kurkdjian,Absolu Spirit 1668,WOMEN,2006,Bergamot;Aldehydes;Mandarin,Patchouli;Jasmine;Nutmeg,Benzoin;Oud;Tonka Bean,Aromatic Fougere,3.6,
Diptyque,Velvet Whisper 1669,MEN,1985,Lemon;Pear;Saffron,Cinnamon;Tuberose;Lavender,Amber;Vanilla;Oakmoss,Amber Gourmand,4.3,
Byredo,Zenith Reserve 1670,UNISEX,1992,Lavender;Grapefruit;Apple,Violet;Iris;Tuberose,Tonka Bean;Leather;Sandalwood,Citrus Aromatic,3.6,https://images.odora.it/perfumes/byredo-1670.jpg
Yves Saint Laurent,Amber Sillage 1671,MEN,1984,Pear;Juniper Berries;Ginger,Ylang Ylang;Rose;Lavender,Tonka Bean;Myrrh;Musk,Amber Gourmand,3.7,
Acqua di Parma,Mystic Whisper 1672,MEN,2019,Juniper Berries;Pink Pepper;Apple,Lavender;Patchouli;Orange Blossom,Vetiver;Incense;Myrrh,Floral Woody Musk,3.7,
Parfums de Marly,Zenith Fusion 1673,UNISEX,2015,Fig Leaf;Ginger;Cardamom,Cedar;Cinnamon;Dates,Oakmoss;Amber;Labdanum,Floral Musk,4.8,
Initio,Aura Spirit 1674,WOMEN,1997,Neroli;Fig Leaf;Ginger,Jasmine;Coffee;Tuberose,Leather;Vetiver;Myrrh,Fresh Citrus,3.9,
Mancera,Zenith Trail 1675,UNISEX,2006,Fig Leaf;Cardamom;Mint,Orange Blossom;Nutmeg;Tuberose,Oud;Amber;Vanilla,Woody Amber,3.8,https://images.odora.it/perfumes/mancera-1675.jpg
Montale,Royal Sillage 1676,MEN,1994,Mint;Lemon;Saffron,Jasmine;Ylang Ylang;Rose,Benzoin;Oud;Amber,Oriental Vanilla,4.3,
Nishane,Silk Signature 1677,MEN,2019,Fig Leaf;Lemon;Mint,Dates;Cinnamon;Cedar,Benzoin;Cashmeran;Oakmoss,Citrus Aromatic,3.9,
Memo Paris,Amber Elixir 1678,WOMEN,1983,Ginger;Aldehydes;Bergamot,Orange Blossom;Patchouli;Lavender,Cedarwood;Praline;Incense,Citrus Aromatic,4.2,
Frederic Malle,Velvet Fusion 1679,WOMEN,2002,Apple;Mint;Neroli,Geranium;Violet;Fig,Sandalwood;Cedarwood;Amber,Floral Musk,3.6,
Le Labo,Intense Code 1680,WOMEN,1990,Pink Pepper;Saffron;Aldehydes,Rose;Iris;Orange Blossom,Benzoin;Oakmoss;Vetiver,Citrus Aromatic,4.5,https://images.odora.it/perfumes/le-labo-1680.jpg
Dior,Saffron Code 1681,MEN,2008,Bergamot;Grapefruit;Saffron,Violet;Rose;Geranium,Benzoin;Amber;Oakmoss,Woody Amber,4.3,
Chanel,Mystic Eau de Parfum 1682,WOMEN,2006,Bergamot;Pear;Ginger,Geranium;Violet;Iris,Oud;Praline;Tonka Bean,Green Aromatic,3.8,
Xerjoff,Intense Edition 1683,WOMEN,1999,Mint;Fig Leaf;Neroli,Cinnamon;Rose;Nutmeg,Benzoin;Amber;Cedarwood,Green Aromatic,4.0,
Lattafa,Silk Elixir 1684,WOMEN,1990,Juniper Berries;Saffron;Lavender,Patchouli;Iris;Orange Blossom,Vetiver;Labdanum;Vanilla,Woody Spicy,4.5,
Amouage,Opaline Bloom 1685,UNISEX,2002,Cardamom;Pink Pepper;Bergamot,Fig;Iris;Patchouli,Praline;Labdanum;Myrrh,Amber Gourmand,3.7,https://images.odora.it/perfumes/amouage-1685.jpg
Tom Ford,Absolu Sillage 1686,UNISEX,1995,Lemon;Aldehydes;Pear,Ylang Ylang;Rose;Fig,Myrrh;Benzoin;Amber,Floral Woody Musk,4.3,
Guerlain,Solar Nectar 1687,WOMEN,1996,Aldehydes;Lavender;Neroli,Dates;Violet;Coffee,Leather;Labdanum;Amber,Fresh Citrus,3.8,
Maison Francis Kurkdjian,Luminous Fusion 1688,MEN,2019,Mint;Lavender;Apple,Fig;Ylang Ylang;Orange Blossom,Myrrh;Tonka Bean;Oud,Floral Musk,4.5,
Diptyque,Eclat Legend 1689,MEN,2019,Bergamot;Pink Pepper;Grapefruit,Rose;Cinnamon;Tuberose,Benzoin;Vetiver;Oud,Citrus Aromatic,4.7,
Byredo,Amber Elixir 1690,MEN,2012,Fig Leaf;Neroli;Apple,Orange Blossom;Tuberose;Iris,Incense;Benzoin;Oakmoss,Oriental Vanilla,4.0,https://images.odora.it/perfumes/byredo-1690.jpg
Yves Saint Laurent,Oud Nectar 1691,WOMEN,2006,Ginger;Cardamom;Fig Leaf,Tuberose;Lavender;Patchouli,Tonka Bean;Incense;Leather,Woody Amber,3.9,
Acqua di Parma,Velvet Essence 1692,UNISEX,2020,Lemon;Bergamot;Ginger,Rose;Iris;Cinnamon,Amber;Vanilla;Incense,Fresh Citrus,4.5,
Parfums de Marly,Opaline Reserve 1693,UNISEX,1995,Saffron;Mint;Pink Pepper,Geranium;Ylang Ylang;Dates,Cashmeran;Musk;Sandalwood,Floral Musk,4.8,
Initio,Royal Pulse 1694,MEN,2005,Ginger;Apple;Pear,Jasmine;Lavender;Nutmeg,Praline;Cashmeran;Oud,Woody Amber,4.7,
Mancera,Aura Signature 1695,WOMEN,2011,Grapefruit;Mint;Pear,Violet;Dates;Iris,Cedarwood;Leather;Musk,Amber Gourmand,4.6,https://images.odora.it/perfumes/mancera-1695.jpg
Montale,Luminous Parfum 1696,MEN,1989,Juniper Berries;Mandarin;Saffron,Cinnamon;Violet;Jasmine,Myrrh;Benzoin;Praline,Floral Musk,3.8,
Nishane,Eclat Spirit 1697,UNISEX,2006,Neroli;Pink Pepper;Ginger,Dates;Coffee;Iris,Oakmoss;Musk;Leather,Woody Amber,4.8,
Memo Paris,Noir Spirit 1698,UNISEX,2003,Pear;Cardamom;Bergamot,Cinnamon;Tuberose;Orange Blossom,Cashmeran;Benzoin;Leather,Woody Spicy,4.2,
Frederic Malle,Mystic Edition 1699,MEN,2003,Ginger;Aldehydes;Apple,Nutmeg;Orange Blossom;Tuberose,Praline;Labdanum;Musk,Woody Amber,4.4,
Le Labo,Velvet Edition 1700,UNISEX,1986,Cardamom;Bergamot;Juniper Berries,Patchouli;Nutmeg;Dates,Oud;Incense;Oakmoss,Green Aromatic,3.7,https://images.odora.it/perfumes/le-labo-1700.jpg
Dior,Mystic Bloom 1701,MEN,2010,Grapefruit;Pear;Mint,Orange Blossom;Iris;Lavender,Leather;Amber;Cashmeran,Green Aromatic,4.1,
Chanel,Luminous Elixir 1702,WOMEN,2005,Aldehydes;Ginger;Apple,Iris;Fig;Nutmeg,Incense;Sandalwood;Musk,Woody Spicy,4.2,
Xerjoff,Velvet Eau de Parfum 1703,UNISEX,1996,Mandarin;Grapefruit;Mint,Violet;Cedar;Geranium,Cedarwood;Leather;Vetiver,Fresh Citrus,3.6,
Lattafa,Opaline Fusion 1704,UNISEX,2007,Pear;Bergamot;Juniper Berries,Geranium;Fig;Lavender,Cashmeran;Oud;Labdanum,Floral Woody Musk,4.1,
Amouage,Absolu Code 1705,UNISEX,2002,Mint;Apple;Pink Pepper,Cedar;Fig;Orange Blossom,Praline;Vetiver;Labdanum,Fresh Citrus,4.0,https://images.odora.it/perfumes/amouage-1705.jpg
Tom Ford,Aura Elixir 1706,UNISEX,1981,Grapefruit;Pink Pepper;Cardamom,Fig;Ylang Ylang;Lavender,Amber;Leather;Cashmeran,Green Aromatic,3.9,
Guerlain,Absolu Veil 1707,WOMEN,2019,Neroli;Mandarin;Ginger,Lavender;Violet;Iris,Incense;Myrrh;Tonka Bean,Oriental Vanilla,4.4,
Maison Francis Kurkdjian,Luminous Eau de Parfum 1708,MEN,1981,Juniper Berries;Mandarin;Pink Pepper,Rose;Iris;Fig,Vetiver;Myrrh;Sandalwood,Woody Amber,4.6,
Diptyque,Zenith Eau de Parfum 1709,UNISEX,2000,Neroli;Pear;Grapefruit,Patchouli;Jasmine;Orange Blossom,Amber;Oud;Sandalwood,Woody Spicy,4.3,
Byredo,Aura Spirit 1710,MEN,2010,Lemon;Neroli;Mint,Violet;Lavender;Nutmeg,Oud;Sandalwood;Leather,Fresh Citrus,4.8,https://images.odora.it/perfumes/byredo-1710.jpg
Yves Saint Laurent,Midnight Essence 1711,UNISEX,2000,Cardamom;Bergamot;Pink Pepper,Violet;Ylang Ylang;Tuberose,Benzoin;Incense;Cashmeran,Floral Woody Musk,3.6,
Acqua di Parma,Zenith Essence 1712,WOMEN,1992,Aldehydes;Cardamom;Pear,Rose;Fig;Cinnamon,Leather;Benzoin;Vetiver,Oriental Vanilla,4.3,
Parfums de Marly,Silk Veil 1713,WOMEN,2022,Lemon;Pear;Grapefruit,Cinnamon;Iris;Lavender,Oakmoss;Labdanum;Myrrh,Floral Woody Musk,4.8,
Initio,Solar Trail 1714,MEN,1992,Juniper Berries;Pear;Mint,Cinnamon;Orange Blossom;Tuberose,Benzoin;Vanilla;Praline,Amber Gourmand,4.1,
Mancera,Royal Bloom 1715,UNISEX,2022,Neroli;Cardamom;Bergamot,Patchouli;Coffee;Cedar,Praline;Oud;Oakmoss,Fresh Citrus,4.7,https://images.odora.it/perfumes/mancera-1715.jpg
Montale,Intense Edition 1716,MEN,2021,Lemon;Apple;Pink Pepper,Fig;Patchouli;Orange Blossom,Praline;Cashmeran;Oud,Floral Woody Musk,3.6,
Nishane,Absolu Sillage 1717,MEN,2022,Mandarin;Fig Leaf;Lemon,Geranium;Fig;Nutmeg,Praline;Oakmoss;Tonka Bean,Woody Spicy,3.6,
Memo Paris,Intense Trail 1718,MEN,1999,Juniper Berries;Apple;Fig Leaf,Orange Blossom;Cedar;Iris,Vanilla;Musk;Oakmoss,Floral Woody Musk,3.9,
Frederic Malle,Silk Edition 1719,UNISEX,1988,Lavender;Lemon;Apple,Ylang Ylang;Tuberose;Jasmine,Incense;Tonka Bean;Cedarwood,Citrus Aromatic,4.2,
Le Labo,Amber Bloom 1720,MEN,2015,Pink Pepper;Bergamot;Lavender,Lavender;Violet;Coffee,Benzoin;Labdanum;Incense,Floral Woody Musk,3.7,https://images.odora.it/perfumes/le-labo-1720.jpg
Dior,Mystic Edition 1721,UNISEX,2017,Lemon;Saffron;Grapefruit,Jasmine;Fig;Patchouli,Praline;Benzoin;Musk,Amber Gourmand,3.9,
Chanel,Oud Pulse 1722,UNISEX,1986,Aldehydes;Bergamot;Pink Pepper,Tuberose;Cinnamon;Cedar,Cedarwood;Sandalwood;Tonka Bean,Oriental Vanilla,3.8,
Xerjoff,Silk Trail 1723,WOMEN,2003,Lemon;Neroli;Mandarin,Patchouli;Dates;Violet,Cedarwood;Amber;Praline,Oriental Vanilla,3.7,
Lattafa,Amber Edition 1724,MEN,1987,Cardamom;Pink Pepper;Pear,Coffee;Orange Blossom;Violet,Vanilla;Incense;Cedarwood,Floral Musk,3.8,
Amouage,Noble Trail 1725,UNISEX,2001,Fig Leaf;Cardamom;Ginger,Cinnamon;Patchouli;Geranium,Amber;Vetiver;Oud,Woody Amber,4.7,https://images.odora.it/perfumes/amouage-1725.jpg
Tom Ford,Royal Reserve 1726,UNISEX,1998,Fig Leaf;Pear;Apple,Jasmine;Tuberose;Nutmeg,Benzoin;Myrrh;Cedarwood,Green Aromatic,4.3,
Guerlain,Midnight Eau de Parfum 1727,WOMEN,1997,Ginger;Aldehydes;Juniper Berries,Ylang Ylang;Fig;Dates,Vanilla;Tonka Bean;Sandalwood,Woody Amber,4.6,
Maison Francis Kurkdjian,Absolu Pulse 1728,UNISEX,2004,Lavender;Mint;Fig Leaf,Cinnamon;Orange Blossom;Fig,Oud;Praline;Benzoin,Green Aromatic,4.3,
Diptyque,Zenith Reserve 1729,UNISEX,2013,Aldehydes;Apple;Bergamot,Cedar;Orange Blossom;Dates,Sandalwood;Myrrh;Tonka Bean,Oriental Vanilla,4.1,
Byredo,Midnight Edition 1730,UNISEX,2018,Fig Leaf;Pear;Cardamom,Lavender;Violet;Nutmeg,Vanilla;Sandalwood;Benzoin,Green Aromatic,4.0,https://images.odora.it/perfumes/byredo-1730.jpg
Yves Saint Laurent,Oud Whisper 1731,WOMEN,2003,Neroli;Bergamot;Cardamom,Dates;Rose;Coffee,Benzoin;Vetiver;Incense,Aromatic Fougere,4.9,
Acqua di Parma,Silk Reserve 1732,WOMEN,2010,Neroli;Ginger;Mandarin,Jasmine;Coffee;Nutmeg,Cashmeran;Cedarwood;Incense,Woody Spicy,4.4,
Parfums de Marly,Saffron Parfum 1733,WOMEN,1999,Grapefruit;Mint;Lemon,Rose;Orange Blossom;Ylang Ylang,Incense;Oud;Benzoin,Floral Musk,3.9,
Initio,Amber Sillage 1734,WOMEN,2000,Bergamot;Pear;Juniper Berries,Lavender;Nutmeg;Dates,Cashmeran;Sandalwood;Labdanum,Citrus Aromatic,4.0,
Mancera,Amber Legend 1735,UNISEX,2005,Pear;Aldehydes;Mandarin,Cedar;Rose;Lavender,Benzoin;Cedarwood;Cashmeran,Aromatic Fougere,3.8,https://images.odora.it/perfumes/mancera-1735.jpg
Montale,Oud Legend 1736,UNISEX,1980,Ginger;Bergamot;Lavender,Patchouli;Nutmeg;Violet,Cedarwood;Vanilla;Myrrh,Oriental Vanilla,3.9,
Nishane,Luminous Parfum 1737,WOMEN,1981,Neroli;Cardamom;Juniper Berries,Coffee;Jasmine;Geranium,Incense;Tonka Bean;Myrrh,Green Aromatic,3.7,
Memo Paris,Zenith Nectar 1738,MEN,2000,Saffron;Pear;Aldehydes,Rose;Ylang Ylang;Jasmine,Musk;Leather;Labdanum,Woody Amber,4.3,
Frederic Malle,Eclat Fusion 1739,WOMEN,2023,Apple;Pink Pepper;Juniper Berries,Lavender;Fig;Cedar,Vetiver;Vanilla;Leather,Woody Amber,4.7,
Le Labo,Midnight Essence 1740,UNISEX,1994,Ginger;Juniper Berries;Apple,Ylang Ylang;Nutmeg;Cedar,Tonka Bean;Cashmeran;Vanilla,Floral Musk,4.7,https://images.odora.it/perfumes/le-labo-1740.jpg
Dior,Saffron Spirit 1741,WOMEN,2024,Lemon;Apple;Mint,Cedar;Tuberose;Iris,Sandalwood;Leather;Praline,Amber Gourmand,3.8,
Chanel,Royal Reserve 1742,MEN,1988,Lavender;Juniper Berries;Aldehydes,Violet;Rose;Geranium,Incense;Leather;Benzoin,Amber Gourmand,3.6,
Xerjoff,Aura Veil 1743,UNISEX,2002,Cardamom;Grapefruit;Fig Leaf,Cinnamon;Violet;Cedar,Labdanum;Cashmeran;Vetiver,Citrus Aromatic,3.6,
Lattafa,Noir Nectar 1744,UNISEX,2010,Cardamom;Bergamot;Apple,Patchouli;Geranium;Dates,Benzoin;Incense;Cedarwood,Citrus Aromatic,4.7,
Amouage,Oud Fusion 1745,MEN,1981,Bergamot;Pear;Mandarin,Rose;Orange Blossom;Ylang Ylang,Praline;Benzoin;Myrrh,Aromatic Fougere,4.6,https://images.odora.it/perfumes/amouage-1745.jpg
Tom Ford,Royal Reserve 1746,MEN,2012,Bergamot;Mint;Mandarin,Nutmeg;Tuberose;Cedar,Vanilla;Oakmoss;Myrrh,Woody Spicy,4.5,
Guerlain,Intense Pulse 1747,MEN,2012,Pink Pepper;Juniper Berries;Grapefruit,Fig;Cedar;Orange Blossom,Benzoin;Cedarwood;Oud,Green Aromatic,4.8,
Maison Francis Kurkdjian,Amber Nectar 1748,MEN,1986,Juniper Berries;Ginger;Mandarin,Tuberose;Lavender;Jasmine,Vanilla;Praline;Incense,Fresh Citrus,4.7,
Diptyque,Royal Code 1749,WOMEN,1988,Lavender;Bergamot;Fig Leaf,Iris;Geranium;Orange Blossom,Amber;Benzoin;Leather,Green Aromatic,4.8,
Byredo,Royal Parfum 1750,UNISEX,2019,Lemon;Pink Pepper;Lavender,Geranium;Ylang Ylang;Iris,Musk;Praline;Cedarwood,Fresh Citrus,3.9,https://images.odora.it/perfumes/byredo-1750.jpg
Yves Saint Laurent,Absolu Sillage 1751,MEN,1997,Lemon;Saffron;Grapefruit,Ylang Ylang;Tuberose;Nutmeg,Leather;Benzoin;Tonka Bean,Amber Gourmand,4.9,
Acqua di Parma,Oud Edition 1752,UNISEX,1980,Neroli;Ginger;Pink Pepper,Orange Blossom;Cinnamon;Jasmine,Labdanum;Praline;Musk,Woody Spicy,4.5,
Parfums de Marly,Aura Legend 1753,UNISEX,1992,Ginger;Apple;Fig Leaf,Lavender;Cinnamon;Jasmine,Cashmeran;Leather;Praline,Woody Spicy,4.6,
Initio,Saffron Parfum 1754,MEN,2005,Ginger;Grapefruit;Mint,Nutmeg;Cinnamon;Patchouli,Benzoin;Vanilla;Sandalwood,Aromatic Fougere,4.6,
Mancera,Opaline Nectar 1755,MEN,2005,Juniper Berries;Lemon;Neroli,Lavender;Violet;Geranium,Cashmeran;Praline;Leather,Floral Musk,3.5,https://images.odora.it/perfumes/mancera-1755.jpg
Montale,Opaline Nectar 1756,MEN,1993,Pink Pepper;Apple;Mandarin,Jasmine;Rose;Cinnamon,Oakmoss;Benzoin;Tonka Bean,Floral Woody Musk,3.9,
Nishane,Saffron Code 1757,UNISEX,2021,Mandarin;Mint;Juniper Berries,Coffee;Cinnamon;Cedar,Praline;Oakmoss;Cedarwood,Woody Amber,4.6,
Memo Paris,Aura Sillage 1758,WOMEN,2003,Mint;Pink Pepper;Fig Leaf,Jasmine;Dates;Cedar,Oud;Myrrh;Leather,Woody Amber,4.8,
Frederic Malle,Luminous Nectar 1759,MEN,2008,Mandarin;Bergamot;Lavender,Nutmeg;Fig;Orange Blossom,Cedarwood;Benzoin;Tonka Bean,Woody Amber,4.6,
Le Labo,Noble Sillage 1760,UNISEX,2024,Mandarin;Cardamom;Lavender,Violet;Dates;Cinnamon,Amber;Labdanum;Vanilla,Citrus Aromatic,4.7,https://images.odora.it/perfumes/le-labo-1760.jpg
Dior,Aura Eau de Parfum 1761,WOMEN,2015,Mint;Juniper Berries;Cardamom,Coffee;Fig;Patchouli,Praline;Benzoin;Tonka Bean,Floral Woody Musk,4.0,
Chanel,Zenith Eau de Parfum 1762,UNISEX,1998,Bergamot;Mint;Pink Pepper,Nutmeg;Jasmine;Coffee,Vanilla;Sandalwood;Labdanum,Woody Amber,3.8,
Xerjoff,Velvet Veil 1763,MEN,1983,Lemon;Cardamom;Saffron,Rose;Cinnamon;Orange Blossom,Incense;Vanilla;Leather,Woody Spicy,4.5,
Lattafa,Intense Edition 1764,UNISEX,2023,Juniper Berries;Neroli;Lemon,Lavender;Tuberose;Ylang Ylang,Cashmeran;Labdanum;Musk,Floral Woody Musk,4.4,
Amouage,Silk Code 1765,UNISEX,1980,Pink Pepper;Grapefruit;Lemon,Violet;Iris;Ylang Ylang,Leather;Incense;Sandalwood,Amber Gourmand,4.9,https://images.odora.it/perfumes/amouage-1765.jpg
Tom Ford,Noir Sillage 1766,WOMEN,1996,Cardamom;Mandarin;Pink Pepper,Rose;Ylang Ylang;Violet,Oud;Labdanum;Amber,Amber Gourmand,3.9,
Guerlain,Amber Spirit 1767,UNISEX,1984,Saffron;Pink Pepper;Pear,Tuberose;Orange Blossom;Dates,Vanilla;Cashmeran;Musk,Aromatic Fougere,4.1,
Maison Francis Kurkdjian,Noir Reserve 1768,WOMEN,2013,Aldehydes;Mandarin;Mint,Violet;Tuberose;Ylang Ylang,Vetiver;Labdanum;Oud,Amber Gourmand,3.8,
Diptyque,Eclat Code 1769,UNISEX,2003,Pear;Pink Pepper;Aldehydes,Lavender;Iris;Orange Blossom,Labdanum;Cashmeran;Vanilla,Fresh Citrus,4.3,
Byredo,Silk Eau de Parfum 1770,UNISEX,1986,Apple;Saffron;Aldehydes,Ylang Ylang;Patchouli;Cinnamon,Myrrh;Cedarwood;Labdanum,Woody Amber,3.6,https://images.odora.it/perfumes/byredo-1770.jpg
Yves Saint Laurent,Intense Reserve 1771,MEN,2019,Mint;Juniper Berries;Grapefruit,Patchouli;Cedar;Jasmine,Vanilla;Oakmoss;Labdanum,Floral Woody Musk,4.4,
Acqua di Parma,Royal Elixir 1772,MEN,2017,Bergamot;Saffron;Fig Leaf,Fig;Nutmeg;Ylang Ylang,Benzoin;Sandalwood;Vetiver,Amber Gourmand,4.7,
Parfums de Marly,Solar Sillage 1773,MEN,1999,Saffron;Neroli;Lavender,Patchouli;Cedar;Geranium,Labdanum;Sandalwood;Vanilla,Woody Spicy,3.9,
Initio,Mystic Essence 1774,UNISEX,2008,Apple;Aldehydes;Mandarin,Violet;Nutmeg;Cinnamon,Benzoin;Incense;Sandalwood,Woody Amber,3.8,
Mancera,Oud Eau de Parfum 1775,MEN,2022,Ginger;Apple;Aldehydes,Geranium;Nutmeg;Coffee,Oud;Myrrh;Oakmoss,Green Aromatic,4.8,https://images.odora.it/perfumes/mancera-1775.jpg
Montale,Silk Eau de Parfum 1776,MEN,2010,Aldehydes;Cardamom;Neroli,Fig;Geranium;Patchouli,Praline;Leather;Labdanum,Floral Woody Musk,3.9,
Nishane,Luminous Parfum 1777,MEN,2015,Fig Leaf;Aldehydes;Saffron,Violet;Fig;Cinnamon,Myrrh;Praline;Oakmoss,Citrus Aromatic,4.7,
Memo Paris,Royal Elixir 1778,WOMEN,1992,Lemon;Juniper Berries;Apple,Orange Blossom;Lavender;Geranium,Tonka Bean;Musk;Cashmeran,Floral Musk,3.7,
Frederic Malle,Silk Pulse 1779,WOMEN,2007,Apple;Saffron;Mandarin,Orange Blossom;Dates;Coffee,Leather;Oud;Sandalwood,Fresh Citrus,4.0,
Le Labo,Saffron Pulse 1780,MEN,2014,Lemon;Lavender;Ginger,Patchouli;Nutmeg;Lavender,Tonka Bean;Incense;Vetiver,Citrus Aromatic,3.8,https://images.odora.it/perfumes/le-labo-1780.jpg
Dior,Amber Eau de Parfum 1781,WOMEN,1999,Pink Pepper;Bergamot;Cardamom,Patchouli;Lavender;Nutmeg,Musk;Cedarwood;Vanilla,Fresh Citrus,3.7,
Chanel,Luminous Edition 1782,UNISEX,2008,Ginger;Pink Pepper;Juniper Berries,Patchouli;Cedar;Orange Blossom,Benzoin;Praline;Myrrh,Citrus Aromatic,3.9,
Xerjoff,Midnight Code 1783,UNISEX,1985,Pear;Lemon;Neroli,Ylang Ylang;Patchouli;Orange Blossom,Amber;Labdanum;Benzoin,Fresh Citrus,3.6,
Lattafa,Noble Eau de Parfum 1784,MEN,2010,Pear;Cardamom;Lavender,Jasmine;Cinnamon;Orange Blossom,Cedarwood;Sandalwood;Myrrh,Fresh Citrus,4.2,
Amouage,Eclat Essence 1785,UNISEX,2009,Lavender;Pear;Grapefruit,Nutmeg;Violet;Coffee,Cedarwood;Oud;Incense,Woody Spicy,3.8,https://images.odora.it/perfumes/amouage-1785.jpg
Tom Ford,Intense Elixir 1786,WOMEN,1999,Mint;Aldehydes;Fig Leaf,Tuberose;Cinnamon;Geranium,Oakmoss;Myrrh;Incense,Oriental Vanilla,4.4,
